Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050153,Urbano,RUA ANGELO TREVISAN,260,CONJUNTO CASA 6,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,260,CONJUNTO CASA 7,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,260,CONJUNTO CASA 8,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,180,,,,CURITIBA,,Estabelecimento de ensino,ESCOLA ESTADUAL ANGELO TREISAN,Único,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,SN,CASA,,,CURITIBA,,Estabelecimento de outras finalidades,FABRICA DE CAMISETAS,Único,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,23,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,21,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,38,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4227,,,,CURITIBA,,Estabelecimento de outras finalidades,MOVEIS CLAFENA,Múltiplo,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4237,,,,CURITIBA,,Estabelecimento de outras finalidades,MOVEIS E DECORACAO IDEATO,Único,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4289,,,,CURITIBA,,Estabelecimento de outras finalidades,RESTAURANTE CASTELO TREVIZZO,Único,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4455,,,,CURITIBA,,Estabelecimento de outras finalidades,RESTAURANTE CASCATINHA,Único,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4661,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4661,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,SN,CASA,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4721,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA DE MOVEIS FAMO ART,Único,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4751,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4755,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4761,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,5127,,,,CURITIBA,,Estabelecimento de outras finalidades,RESTAURANTE PETT CHATEAN,Único,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,5129,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,AVENIDA MANOEL RIBAS,5131,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,RUA JOAO AZOLIN,90,,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,72,,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,50,,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1917,,,,CURITIBA,,Estabelecimento de outras finalidades,DEPOSITO,Único,,2,2,82015015
